#,From Zip,To Zip,Service Code,Service Description,Pickup Date / Time,Arrival Date / Time,Business Days in Transit,Arrival Day
35,43004,47706,1DA,UPS Next Day Air,2022-07-18  / 19:30 ,2022-07-19 / 10:30,1,TUE
35,43004,47706,1DP,UPS Next Day Air Saver,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
35,43004,47706,GND,UPS Ground,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
35,43004,47706,2DM,UPS 2nd Day Air A.M.,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
35,43004,47706,2DA,UPS 2nd Day Air,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
35,43004,47706,3DS,UPS 3 Day Select,2022-07-18  / 19:30 ,2022-07-21 / 23:00,3,THU
36,43004,47708,1DM,UPS Next Day Air Early,2022-07-18  / 19:30 ,2022-07-19 / 08:00,1,TUE
36,43004,47708,1DA,UPS Next Day Air,2022-07-18  / 19:30 ,2022-07-19 / 10:30,1,TUE
36,43004,47708,1DP,UPS Next Day Air Saver,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
36,43004,47708,GND,UPS Ground,2022-07-18  / 19:30 ,2022-07-19 / 23:00,1,TUE
36,43004,47708,2DM,UPS 2nd Day Air A.M.,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
36,43004,47708,2DA,UPS 2nd Day Air,2022-07-18  / 19:30 ,2022-07-20 / 23:00,2,WED
